V3	V4	V6	name	time
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258982/MQ220906-20_S20_L001_R2_001.fastq.gz	MQ220906-20_S20_L001_R2_001.fastq.gz	MQ22090620	MQ22090620	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258983/MQ220906-21_S21_L001_R1_001.fastq.gz	MQ220906-21_S21_L001_R1_001.fastq.gz	MQ22090621	MQ22090621	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258983/MQ220906-21_S21_L001_R2_001.fastq.gz	MQ220906-21_S21_L001_R2_001.fastq.gz	MQ22090621	MQ22090621	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258986/MQ220906-159_S159_L001_R1_001.fastq.gz	MQ220906-159_S159_L001_R1_001.fastq.gz	MQ220906159	MQ220906159	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258986/MQ220906-159_S159_L001_R2_001.fastq.gz	MQ220906-159_S159_L001_R2_001.fastq.gz	MQ220906159	MQ220906159	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258987/MQ220906-24_S24_L001_R1_001.fastq.gz	MQ220906-24_S24_L001_R1_001.fastq.gz	MQ22090624	MQ22090624	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258987/MQ220906-24_S24_L001_R2_001.fastq.gz	MQ220906-24_S24_L001_R2_001.fastq.gz	MQ22090624	MQ22090624	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258988/MQ220906-25_S25_L001_R1_001.fastq.gz	MQ220906-25_S25_L001_R1_001.fastq.gz	MQ22090625	MQ22090625	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258988/MQ220906-25_S25_L001_R2_001.fastq.gz	MQ220906-25_S25_L001_R2_001.fastq.gz	MQ22090625	MQ22090625	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258989/MQ220906-26_S26_L001_R1_001.fastq.gz	MQ220906-26_S26_L001_R1_001.fastq.gz	MQ22090626	MQ22090626	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258989/MQ220906-26_S26_L001_R2_001.fastq.gz	MQ220906-26_S26_L001_R2_001.fastq.gz	MQ22090626	MQ22090626	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258990/MQ220906-27_S27_L001_R1_001.fastq.gz	MQ220906-27_S27_L001_R1_001.fastq.gz	MQ22090627	MQ22090627	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258990/MQ220906-27_S27_L001_R2_001.fastq.gz	MQ220906-27_S27_L001_R2_001.fastq.gz	MQ22090627	MQ22090627	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258992/MQ220906-29_S29_L001_R1_001.fastq.gz	MQ220906-29_S29_L001_R1_001.fastq.gz	MQ22090629	MQ22090629	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258992/MQ220906-29_S29_L001_R2_001.fastq.gz	MQ220906-29_S29_L001_R2_001.fastq.gz	MQ22090629	MQ22090629	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258993/MQ220906-30_S30_L001_R1_001.fastq.gz	MQ220906-30_S30_L001_R1_001.fastq.gz	MQ22090630	MQ22090630	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258993/MQ220906-30_S30_L001_R2_001.fastq.gz	MQ220906-30_S30_L001_R2_001.fastq.gz	MQ22090630	MQ22090630	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258996/MQ220906-160_S160_L001_R1_001.fastq.gz	MQ220906-160_S160_L001_R1_001.fastq.gz	MQ220906160	MQ220906160	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258996/MQ220906-160_S160_L001_R2_001.fastq.gz	MQ220906-160_S160_L001_R2_001.fastq.gz	MQ220906160	MQ220906160	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258997/MQ220906-33_S33_L001_R1_001.fastq.gz	MQ220906-33_S33_L001_R1_001.fastq.gz	MQ22090633	MQ22090633	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258997/MQ220906-33_S33_L001_R2_001.fastq.gz	MQ220906-33_S33_L001_R2_001.fastq.gz	MQ22090633	MQ22090633	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259001/MQ220906-36_S36_L001_R1_001.fastq.gz	MQ220906-36_S36_L001_R1_001.fastq.gz	MQ22090636	MQ22090636	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259001/MQ220906-36_S36_L001_R2_001.fastq.gz	MQ220906-36_S36_L001_R2_001.fastq.gz	MQ22090636	MQ22090636	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259002/MQ220906-37_S37_L001_R1_001.fastq.gz	MQ220906-37_S37_L001_R1_001.fastq.gz	MQ22090637	MQ22090637	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259002/MQ220906-37_S37_L001_R2_001.fastq.gz	MQ220906-37_S37_L001_R2_001.fastq.gz	MQ22090637	MQ22090637	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259006/MQ220906-40_S40_L001_R1_001.fastq.gz	MQ220906-40_S40_L001_R1_001.fastq.gz	MQ22090640	MQ22090640	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259006/MQ220906-40_S40_L001_R2_001.fastq.gz	MQ220906-40_S40_L001_R2_001.fastq.gz	MQ22090640	MQ22090640	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259007/MQ220906-41_S41_L001_R1_001.fastq.gz	MQ220906-41_S41_L001_R1_001.fastq.gz	MQ22090641	MQ22090641	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259007/MQ220906-41_S41_L001_R2_001.fastq.gz	MQ220906-41_S41_L001_R2_001.fastq.gz	MQ22090641	MQ22090641	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259010/MQ220906-44_S44_L001_R1_001.fastq.gz	MQ220906-44_S44_L001_R1_001.fastq.gz	MQ22090644	MQ22090644	T1
